id_parc,nom_usuel,code_insee,nom_commune,code_dept,code_reg,etat_parc,latitude,longitude
3800453,SAS Énergie des Ronchères,2491,MONCEAU-LE-NEUF-ET-FAUCOUZY,2,32,En exploitation,49.7705556,3.6166667
3800453,SAS Énergie des Ronchères,2727,SONS-ET-RONCHERES,2,32,En exploitation,49.7616,3.67431
3800454,Vallée de l'Aa 2 Est (WP France 10),62271,DOHEM,62,32,En exploitation,50.6377665,2.186722
3800462,PE EOLIENNES DES PAQUERETTES (H2air SAS),62082,BARASTRE,62,32,En exploitation,50.0760532,2.9340243
3800462,PE EOLIENNES DES PAQUERETTES (H2air SAS),62410,HAPLINCOURT,62,32,En exploitation,50.0899977,2.9316548
3800463,Ferme Eolienne De La Voie D'Artois,62484,LAGNICOURT MARCEL,62,32,En exploitation,50.1584314,2.9570663
3800463,Ferme Eolienne De La Voie D'Artois,62591,MORCHIES,62,32,En exploitation,50.1386774,2.9562959
3800463,Ferme Eolienne De La Voie D'Artois,62673,QUEANT,62,32,En exploitation,50.1803041,2.9823435
3800464,Parc eolien de Dameraucourt,60193,DAMERAUCOURT,60,32,En exploitation,49.709511,1.9274026
3800468,Ferme eolienne de la Voie de Cambrai,62469,INCHY-EN-ARTOIS,62,32,En exploitation,50.1800034,3.0522468
3800468,Ferme eolienne de la Voie de Cambrai,62671,PRONVILLE-EN-ARTOIS,62,32,En exploitation,50.167313500000006,3.006105937983194
3800468,Ferme eolienne de la Voie de Cambrai,62673,QUEANT,62,32,En exploitation,50.1803041,2.9823435
3800483,Ferme eolienne Beau Gui (St-Vaast-en-Cambresis),59547,SAINT-VAAST-EN-CAMBRESIS,59,32,En exploitation,50.1925792,3.4251165
3800487,SAS VENTS DES CHAMPS,80339,FOUQUESCOURT,80,32,En exploitation,49.7697142,2.7522307
3800487,SAS VENTS DES CHAMPS,80520,MAUCOURT,80,32,En exploitation,49.6363226,3.0738049
3800512,ENERTRAG SANTERRE IV SCS,80162,CAIX,80,32,En exploitation,49.8167694,2.6462567
3800512,ENERTRAG SANTERRE IV SCS,80224,CRESSY OMENCOURT,80,32,En exploitation,49.718752,2.912548103539613
3800512,ENERTRAG SANTERRE IV SCS,80814,VRELY,80,32,En exploitation,49.7986078,2.6936567
3800527,PARC EOLIEN SEPE DES HAYETTES,60350,LASSIGNY,60,32,En exploitation,49.5880619,2.8428128
3800586,Parc éolien de La Grande Borne,2639,REMIGNY,2,32,En exploitation,49.7201411,3.2891893
3800586,Parc éolien de La Grande Borne,2775,VENDEUIL,2,32,En exploitation,49.7166667,3.3525
3800589,Ferme eolienne de la Plaine de Genville,62153,BOMY,62,32,En exploitation,50.5744328,2.2354651
3800684,Extension Coyecque,62254,COYECQUES,62,32,En exploitation,50.6032472,2.1830816
3800736,Ferme éolienne du moulin de Berlémont,2392,JONCOURT,2,32,En exploitation,49.9552008,3.2985798
3800736,Ferme éolienne du moulin de Berlémont,2426,LEVERGIES,2,32,En exploitation,49.9277778,3.3133333
3800740,BORALEX - Parc éolien du Bois Ricart,60221,ESQUENNOY,60,32,En exploitation,49.6570097,2.2696775
3800740,BORALEX - Parc éolien du Bois Ricart,60486,PAILLART,60,32,En exploitation,49.666702,2.3240272
3800773,Parc éolien de l'Extension des Rossignols,62596,MOURIEZ,62,32,En exploitation,50.3424448,1.9464671
3800773,Parc éolien de l'Extension des Rossignols,62824,TORTEFONTAINE,62,32,En exploitation,50.322728,1.9232923
3800779,HOMBLEUX ENERGIES,80442,HOMBLEUX,80,32,En exploitation,49.7390706,2.9864431
3800795,Parc éolien des Blanches Fosses,2433,LISLET,2,32,En exploitation,49.6854946,4.0223199
3800795,Parc éolien des Blanches Fosses,2502,MONTCORNET,2,32,En exploitation,49.6963889,4.0180556
3800808,BORALEX - Parc éolien de Caumont Chériennes,62219,CAUMONT,62,32,En exploitation,50.2889755,2.030779
3800808,BORALEX - Parc éolien de Caumont Chériennes,62222,CHERIENNES,62,32,En exploitation,50.31363,2.03531
3800813,PARC EOLIEN DE LE QUESNEL,80652,LE QUESNEL,80,32,En exploitation,49.7774386,2.6247871
3800822,Extension du parc éolien de l'Épine Marie Madeleine,2004,AGNICOURT ET SECHELLES,2,32,En exploitation,49.716,3.95498
3800822,Extension du parc éolien de l'Épine Marie Madeleine,2513,MONTIGNY-LE-FRANC,2,32,En exploitation,49.6892475,3.9074085
3800822,Extension du parc éolien de l'Épine Marie Madeleine,2737,TAVAUX-ET-PONTSERICOURT,2,32,En exploitation,49.7299166,3.9030408
3800824,Parc éolien d' Extension du Seuil de Bapaume,62829,LE TRANSLOY,62,32,En exploitation,50.0580588,2.8896279
3800824,Parc éolien d' Extension du Seuil de Bapaume,80695,SAILLY SAILLISEL,80,32,En exploitation,50.0283515,2.9162722
3800836,PE EOLIENNES DU SUD ARRAGEOIS,62259,CROISILLES,62,32,En exploitation,50.199782,2.8783364
3800836,PE EOLIENNES DU SUD ARRAGEOIS,62426,HENINEL,62,32,En exploitation,50.2382052,2.8625554
3800836,PE EOLIENNES DU SUD ARRAGEOIS,62761,SAINT-MARTIN-SUR-COJEUL,62,32,En exploitation,50.2319666,2.842505
3800864,PARC EOLIEN DE MARENDEUIL,60622,SOMMEREUX,60,32,En exploitation,49.6789485,1.9920365
3800877,FONTAINE LE SEC,62519,LISBOURG,62,32,En exploitation,50.507259,2.2165029
3800949,Ferme éolienne Terre à Flacons,80018,ALLENAY,80,32,En exploitation,50.0902323,1.49403
3800949,Ferme éolienne Terre à Flacons,80364,FRIAUCOURT,80,32,En exploitation,50.0885035,1.4774316
3800956,SEPE de la Vallée Masson,62596,MOURIEZ,62,32,En exploitation,50.3424448,1.9464671
3800961,Extention de la Plaine d'Escrebieux,62249,COURCELLES-LES-LENS,62,32,En exploitation,50.418154,3.018367
3800961,Extention de la Plaine d'Escrebieux,59211,ESQUERCHIN,59,32,En exploitation,50.3763854,3.0139312
3800961,Extention de la Plaine d'Escrebieux,59234,FLERS-EN-ESCREBIEUX,59,32,En exploitation,50.3978149,3.0614209
3801003,PARC EOLIEN ENERTRAG SANTERRE III,80359,FRESNOY LES ROYE,80,32,En exploitation,49.7383369,2.7759205
3801107,Parc éolien du Mont de l?Échelle,2721,SISSY,2,32,En exploitation,49.8029229,3.4306763
3801113,LE GROSEILLER,62519,LISBOURG,62,32,En exploitation,50.507259,2.2165029
3801296,LE MONT DUQUENNE,62197,CAMBLAIN-CHATELAIN,62,32,En exploitation,50.4822875,2.4637444
3801308,ENERGIE IWUY,59038,AVESNES LE SEC,59,32,En exploitation,50.2513888,3.3712824
3801308,ENERGIE IWUY,59322,IWUY,59,32,En exploitation,50.2329376,3.3216106
3801351,SAS Parc éolien de la Voie Verte,2783,GRAND-VERLY,2,32,En exploitation,49.9386111,3.585
3801351,SAS Parc éolien de la Voie Verte,2753,TUPIGNY,2,32,En exploitation,49.9577778,3.6083333
3801357,BORALEX - Helfaut,62423,HELFAUT,62,32,En exploitation,50.697043,2.2415082
3801363,SAS Éoliennes des Lupins,2366,HANNAPES,2,32,En exploitation,49.9727778,3.6261111
3801434,Les Hauts de Saint Aubin ,80628,LE PLESSIER-ROZAINVILLERS,80,32,En exploitation,49.752435,2.5538052
3801480,PARC EOLIEN DE THENNES,80751,THENNES,80,32,En exploitation,49.8086189,2.4642887
3801495,Parc éolien des Saules,59558,SAULZOIR,59,32,En exploitation,50.2390994,3.4405746
3801537,PARC EOLIEN DE CHAMPS PERDUS 2,80415,HANGEST EN SANTERRE,80,32,En exploitation,49.7540304,2.6042103
3801568,Ferme eolienne de Bois Madame II,80524,MEHARICOURT,80,32,En exploitation,49.7986087,2.7318968
3801568,Ferme eolienne de Bois Madame II,80682,ROUVROY-EN-SANTERRE,80,32,En exploitation,49.7694772,2.7108368
3801604,LES DIX-HUIT,62246,COUPELLE NEUVE,62,32,En exploitation,50.5006894,2.1197164
3801615,ENERGIE DES SORBIERS,59322,IWUY,59,32,En exploitation,50.2329376,3.3216106
3801726,Ferme eolienne des trois rivieres,60434,MORTEMER,60,32,En exploitation,49.7534723,1.5525686
3801726,Ferme eolienne des trois rivieres,80678,ROLLOT,80,32,En exploitation,49.5920598,2.6545607
3801811,Mont d'Erny Extension ,62265,DELETTES,62,32,En exploitation,50.630933,2.206455
3801811,Mont d'Erny Extension ,62295,ENQUIN-LEZ-GUINEGATTE,62,32,En exploitation,50.60867,2.267216
3801811,Mont d'Erny Extension ,62304,ERNY ST JULIEN,62,32,En exploitation,50.58542,2.241652
3801906,ENERCON Ferme Eolienne Est,60232,FERRIERES,60,32,En exploitation,49.595821,2.504866
3801906,ENERCON Ferme Eolienne Est,60556,ROYAUCOURT,60,32,En exploitation,49.6095014,2.5281907
3801907,Ferme Eolienne Nord,60232,FERRIERES,60,32,En exploitation,49.595821,2.504866
3801907,Ferme Eolienne Nord,60556,ROYAUCOURT,60,32,En exploitation,49.6095014,2.5281907
3801908,Société d'Exploitation du Parc Eolien de SACHIN,60232,FERRIERES,60,32,En exploitation,49.595821,2.504866
3801908,Société d'Exploitation du Parc Eolien de SACHIN,60556,ROYAUCOURT,60,32,En exploitation,49.6095014,2.5281907
3801908,Société d'Exploitation du Parc Eolien de SACHIN,60702,WELLES-PERENNES,60,32,En exploitation,49.607578,2.4833824
3802009,PARC EOLIEN DE LA HAUTE BORNE,80409,HALLU,80,32,En exploitation,49.79271,2.78766
3802438,QUADRAN EOLIENNES CHAUSSEE BRUNEHAUT 1,60299,HARDIVILLERS,60,32,En exploitation,49.6164088,2.2220681
3802438,QUADRAN EOLIENNES CHAUSSEE BRUNEHAUT 1,60377,MAISONCELLE TUILERIE,60,32,En exploitation,49.5878847,2.2192492
3802438,QUADRAN EOLIENNES CHAUSSEE BRUNEHAUT 1,60465,NOIREMONT,60,32,En exploitation,49.5505924,2.211256
3802439,QUADRAN EOLIENNES CHAUSSEE BRUNEHAUT 2,60182,LE CROCQ,60,32,En exploitation,49.6267258,2.1794943
3802439,QUADRAN EOLIENNES CHAUSSEE BRUNEHAUT 2,60518,PUITS LA VALLEE,60,32,En exploitation,49.5824077,2.1942295
